iter	Passed	Remaining
0	146	14545
1	148	7264
2	149	4830
3	150	3615
4	151	2883
5	152	2396
6	154	2046
7	155	1784
8	156	1580
9	157	1416
10	158	1282
11	159	1170
12	160	1076
13	161	994
14	163	924
15	164	861
16	165	806
17	166	757
18	167	713
19	168	674
20	169	638
21	170	605
22	172	575
23	173	548
24	174	524
25	176	501
26	178	481
27	179	461
28	180	442
29	181	424
30	183	407
31	184	392
32	185	377
33	186	362
34	188	349
35	189	336
36	190	324
37	191	312
38	192	301
39	193	290
40	194	280
41	196	270
42	197	261
43	198	252
44	199	243
45	200	235
46	202	228
47	203	220
48	205	214
49	207	207
50	208	200
51	210	193
52	211	187
53	212	180
54	213	174
55	214	168
56	215	162
57	216	157
58	218	151
59	219	146
60	220	140
61	221	135
62	222	130
63	223	125
64	224	121
65	225	116
66	226	111
67	227	107
68	229	102
69	230	98
70	231	94
71	233	90
72	234	86
73	235	82
74	237	79
75	238	75
76	239	71
77	241	68
78	242	64
79	243	60
80	244	57
81	245	53
82	246	50
83	247	47
84	248	43
85	249	40
86	250	37
87	251	34
88	252	31
89	253	28
90	254	25
91	255	22
92	256	19
93	257	16
94	259	13
95	259	10
96	260	8
97	261	5
98	262	2
99	263	0
